Date(UTC),UnixTimeStamp,Value,
5/19/17,1495152000,124.38,
5/20/17,1495238400,123.06,
5/21/17,1495324800,148,
5/22/17,1495411200,160.39,
5/23/17,1495497600,169.5,
5/24/17,1495584000,193.03,
5/25/17,1495670400,177.33,
5/26/17,1495756800,162.83,
5/27/17,1495843200,156.63,
5/28/17,1495929600,172.86,
5/29/17,1496016000,194.17,
5/30/17,1496102400,228.58,
5/31/17,1496188800,228.64,
6/1/17,1496275200,220.7,
6/2/17,1496361600,222.04,
6/3/17,1496448000,224.3,
6/4/17,1496534400,244.96,
6/5/17,1496620800,247.75,
6/6/17,1496707200,264.26,
6/7/17,1496793600,255.77,
6/8/17,1496880000,259.41,
6/9/17,1496966400,279.11,
6/10/17,1497052800,335.95,
6/11/17,1497139200,339.68,
6/12/17,1497225600,394.66,
6/13/17,1497312000,388.09,
6/14/17,1497398400,343.84,
6/15/17,1497484800,344.68,
6/16/17,1497571200,353.61,
6/17/17,1497657600,368.1,
6/18/17,1497744000,351.53,
6/19/17,1497830400,358.2,
6/20/17,1497916800,350.53,
6/21/17,1498003200,325.3,
6/22/17,1498089600,320.97,
6/23/17,1498176000,326.85,
6/24/17,1498262400,304.54,
6/25/17,1498348800,279.36,
6/26/17,1498435200,253.68,
6/27/17,1498521600,286.14,
6/28/17,1498608000,315.86,
6/29/17,1498694400,292.9,
6/30/17,1498780800,280.68,
7/1/17,1498867200,261,
7/2/17,1498953600,283.99,
7/3/17,1499040000,276.41,
7/4/17,1499126400,269.05,
7/5/17,1499212800,266,
7/6/17,1499299200,265.88,
7/7/17,1499385600,240.94,
7/8/17,1499472000,245.67,
7/9/17,1499558400,237.72,
7/10/17,1499644800,205.76,
7/11/17,1499731200,190.55,
7/12/17,1499817600,224.15,
7/13/17,1499904000,205.41,
7/14/17,1499990400,197.14,
7/15/17,1500076800,169.1,
7/16/17,1500163200,155.42,
7/17/17,1500249600,189.97,
7/18/17,1500336000,227.09,
7/19/17,1500422400,194.41,
7/20/17,1500508800,226.33,
7/21/17,1500595200,216.33,
7/22/17,1500681600,230.47,
7/23/17,1500768000,228.32,
7/24/17,1500854400,225.48,
7/25/17,1500940800,203.59,
7/26/17,1501027200,202.88,
7/27/17,1501113600,202.93,
7/28/17,1501200000,191.21,
7/29/17,1501286400,206.14,
7/30/17,1501372800,196.78,
7/31/17,1501459200,201.33,
8/1/17,1501545600,225.9,
8/2/17,1501632000,218.12,
8/3/17,1501718400,224.39,
8/4/17,1501804800,220.6,
8/5/17,1501891200,253.09,
8/6/17,1501977600,264.56,
8/7/17,1502064000,269.94,
8/8/17,1502150400,296.51,
8/9/17,1502236800,295.28,
8/10/17,1502323200,298.28,
8/11/17,1502409600,309.32,
8/12/17,1502496000,308.02,
8/13/17,1502582400,296.62,
8/14/17,1502668800,299.16,
